cc_alias	cc_id	language	lexeme	lexeme_id	status	comments 1	comments 2	comments 3
all-A	175	Afrikaans	AL, ALLE	201				
all-A	175	Danish	ɛl	4714				
all-A	175	Dutch_List	'ɑləs	4914				
all-A	175	English	ɔ:l	5113				
all-A	175	Faroese	ALLIR	5313				
all-A	175	Flemish	ALLE, ALLES	5510				
all-A	175	Frisian	ɔlə, ɔləs, ɔləgjɛr(ə)	6302				
all-A	175	German	'alə	6493				
all-A	175	Gothic	allai	19913				
all-A	175	Icelandic_ST	ALLIR	8257				
all-A	175	Luxembourgish	all	24092				
all-A	175	Norwegian	alə	13150				
all-A	175	Old_English	ealle	21319				
all-A	175	Old_High_German	alle	27876				
all-A	175	Old_Norse	allir	21561				
all-A	175	Schwyzerdutsch	au	29005				
all-A	175	Swedish	ˈala	16109				
all-C	543	Catalan	tot	3929				
all-C	543	French	tu	5707				
all-C	543	Friulian	dut	26163				
all-C	543	Italian	'tutto	8845				
all-C	543	Ladin	TUOT	9426				
all-C	543	Latin	tōtus	20335	EXCLUDE		SS	Lat. eig. ‹ganz›; Etwicklung zu ‹alle›: wohl über Kollektiva wie osk. touto = lat. Civitas
all-C	543	Portuguese_ST	ˈtoðu	12750				
all-C	543	Provencal	TOUT, TOUTO	12950				
all-C	543	Romansh	tut(ta)	26370				
all-C	543	Rumanian_List	TOTI (M. PL.), TOATE (N. PL.)	13348				
all-C	543	Sardinian_C	TOTTU	13939				
all-C	543	Sardinian_N	TOTTU	14338				
all-C	543	Spanish	'toðo	15909				
all-C	543	Walloon	TOT	17846				
all-G	965	Breton_ST	ɔl	2949				
all-G	965	Cornish	an ol	19580				
all-G	965	Cornish	ol an	19579				
all-G	965	Cornish	oll	19581				
all-G	965	Irish_B	UILE	8651				
all-G	965	Old_Irish	uili	28131				
all-G	965	Scots_Gaelic	uile	23858				
all-K	2135	Welsh_N	POB	18438				
all-M	3154	Latin	ˈomnis	20334			SS	Lat. ‹ein jeder›
and-B	176	Afrikaans	EN	202				
and-B	176	Dutch_List	ɛn	4915				
and-B	176	English	ænd	5114				
and-B	176	Flemish	EN	5511				
and-B	176	Frisian	ɛn	6303				
and-B	176	German	ʊnt	6494				
and-B	176	Luxembourgish	an	24291				
and-B	176	Old_English	and	21320				
and-B	176	Old_High_German	inti	27877				
and-B	176	Schwyzerdutsch	und	29006				
and-F	848	Catalan	i	3930				
and-F	848	French	e	5708				
and-F	848	Friulian	e	26164				
and-F	848	Italian	e, ed	8846				
and-F	848	Ladin	E, ED	9427				
and-F	848	Latin	et	20336				
and-F	848	Portuguese_ST	i	12751				
and-F	848	Provencal	E, EME, EMAI	12951				
and-F	848	Romansh	e, ed	26371				
and-F	848	Sardinian_C	E	13940				
and-F	848	Sardinian_N	E	14339				
and-F	848	Spanish	i	15910				
and-F	848	Walloon	ET	17847				
and-G	966	Breton_ST	a	2950				
and-G	966	Cornish	ha(g)	19582				
and-G	966	Irish_B	ˈaɡəs	8652				
and-G	966	Old_Irish	ocus	28132				
and-G	966	Scots_Gaelic	agus	24071				
and-G	966	Welsh_N	a:	18439				
and-I	1303	Danish	ɒw, ʌ	4715				
and-I	1303	Faroese	oː	5314				
and-I	1303	Icelandic_ST	ɔːɣ	8258				
and-I	1303	Norwegian	OG	13151				
and-I	1303	Old_Norse	ok	21562				
and-I	1303	Swedish	ɔ(kː)	16110				
and-M	1884	Rumanian_List	IAR	13349				
animal-A	177	Afrikaans	DIER	203				
animal-A	177	Danish	ˈd̥yːʌ, 'd̥yɐ̯	4716				
animal-A	177	Dutch_List	dir	4916				
animal-A	177	Faroese	dʊir	26949				
animal-A	177	Faroese	dʒɔur	5315				
animal-A	177	Flemish	DIER	5512				
animal-A	177	Frisian	di.ər	27667				
animal-A	177	German	ti:ɐ̯	6495				
animal-A	177	Gothic	dius	19915				
animal-A	177	Icelandic_ST	tiːr	8259				
animal-A	177	Luxembourgish	Déier	24120				
animal-A	177	Norwegian	dyːɾ	13152				
animal-A	177	Old_English	dēor	21321				
animal-A	177	Old_High_German	tior	27878				
animal-A	177	Old_Norse	dýr	21563				
animal-A	177	Schwyzerdutsch	tier	29007				
animal-A	177	Swedish	jʉːr	16111				
animal-F	849	Breton_ST	ɑ̃ˈneval	2951	LOAN	Latin		
animal-F	849	Catalan	əni’mal	3931	LOAN	Latin		
animal-F	849	Cornish	enyval	19583	LOAN	Latin		
animal-F	849	English	'ænɪməl	5115	LOAN	Latin		
animal-F	849	French	animal	5709				
animal-F	849	Friulian	animâl, nemâl	26165				
animal-F	849	Irish_B	AINMHIDH	8653				
animal-F	849	Italian	ani'male	8847				
animal-F	849	Ladin	ANIMAL, ARMAINT	9428				
animal-F	849	Latin	animal	20337				
animal-F	849	Old_Irish	anmandae	28133	LOAN	Latin		
animal-F	849	Portuguese_ST	ɐniˈmaɫ	12752				
animal-F	849	Provencal	ANIMAU	12952				
animal-F	849	Romansh	animal	26372				
animal-F	849	Rumanian_List	animal	13350				
animal-F	849	Sardinian_C	ANIMALI	13941				
animal-F	849	Sardinian_N	ANIMALE	14340				
animal-F	849	Scots_Gaelic	ainmhidh	23895	LOAN	Latin		
animal-F	849	Spanish	ani'mal	15911				
animal-F	849	Welsh_N	ANIFAIL	18440	LOAN	Latin		
animal-I	1410	Cornish	be:st	19584	LOAN	Latin		
animal-I	1410	Flemish	BEEST	23471	LOAN	French		
animal-I	1410	Frisian	BISTEGUD	6304	LOAN	French		
animal-I	1410	Latin	bestia	23506	EXCLUDE			
animal-I	1410	Walloon	BIESSE	17848				
animal-M	2429	Breton_ST	lo.ɛ̃n	23478				
ashes-A	178	Afrikaans	AS	204				
ashes-A	178	Danish	ˈasg̥ʰə	4717				
ashes-A	178	Dutch_List	ɑs	4917				
ashes-A	178	English	æʃɪz	5116				
ashes-A	178	Faroese	øska	5316				
ashes-A	178	Flemish	ASCH	5513				
ashes-A	178	Frisian	ˈjɪskə	6305				
ashes-A	178	German	'aʃə	6496				
snow-B	303	Provencal	nɛw	13094				
ashes-A	178	Gothic	azgō	19916				
ashes-A	178	Icelandic_ST	ˈaska	8260				
ashes-A	178	Luxembourgish	Äschen	24249				
ashes-A	178	Norwegian	aske	13153				
ashes-A	178	Old_English	asce	21322				
ashes-A	178	Old_High_German	asca	27879				
ashes-A	178	Old_Norse	aska	21564				
ashes-A	178	Schwyzerdutsch	äsche	29008				
ashes-A	178	Swedish	'aska	23485				
ashes-E	850	Catalan	'sɛndrə	3932				
ashes-E	850	French	sɑ̃dʀ	5710				
ashes-E	850	Friulian	cinise	26166				
ashes-E	850	Italian	'tʃenere	8848				
ashes-E	850	Ladin	TSCHENDRA	9429				
ashes-E	850	Latin	cinis	20338				
ashes-E	850	Portuguese_ST	ˈsĩzɐʃ	12753				
ashes-E	850	Provencal	CENDRE	12953				
ashes-E	850	Romansh	tschendra	26373				
ashes-E	850	Rumanian_List	cenușă	13351				
ashes-E	850	Sardinian_C	CINIZU	13942				
ashes-E	850	Sardinian_N	KISINAS	14341				
ashes-E	850	Spanish	θe'niθas	15912				
ashes-E	850	Walloon	CINDE	17849				
ashes-F	968	Breton_ST	'ly:dy	2952				
ashes-F	968	Cornish	lusow	19585				
ashes-F	968	Irish_B	LUAITH	8654				
ashes-F	968	Old_Irish	lúaith	28134				
ashes-F	968	Scots_Gaelic	luath	24030				
ashes-F	968	Welsh_N	LLUDW	18441				
ashes-H	1448	Swedish	stɔft	16112				
at-J	2535	Breton_ST	e, ẽn	2953				
at-J	2535	Portuguese_ST	ɐ̃j	12754				
at-J	2535	Welsh_N	YN	18442				
at-I	2534	Frisian	op	6306				
at-I	2534	Luxembourgish	op	24287				
at-N	2538	Old_High_German	zi	27880				
at-R	2542	Catalan	a	3933				
at-R	2542	English	æt	5117				
at-R	2542	Faroese	A	25193				
at-R	2542	French	a	5711				
at-R	2542	Friulian	a	26167				
at-R	2542	Gothic	at	19917				
at-R	2542	Irish_B	ɛɟ	8655				
at-R	2542	Italian	a, ad	8849				
at-R	2542	Ladin	A, AD, ADA	9430				
at-R	2542	Latin	ad	20339				
at-R	2542	Old_English	æt	21323				
at-R	2542	Old_High_German	az	27881				
at-R	2542	Old_Norse	at	21566				
at-R	2542	Provencal	A	12954				
at-R	2542	Romansh	a	26374				
at-R	2542	Rumanian_List	la	13352				
at-R	2542	Sardinian_C	A	13943				
at-R	2542	Sardinian_N	A	14342				
at-R	2542	Scots_Gaelic	ek	24067				
at-R	2542	Spanish	a	15913				
at-R	2542	Walloon	A	17850				
at-S	2543	Portuguese_ST	a	25190				
at-T	2544	Flemish	AEN	25196				
at-T	2544	German	an	6497				
at-T	2544	Luxembourgish	an	24284				
at-T	2544	Luxembourgish	dran	24286				
at-T	2544	Schwyzerdutsch	a	29009				
at-U	2545	Danish	veð	4718				
at-U	2545	Faroese	VID, I	5317				
at-U	2545	Icelandic_ST	VIO	8261				
at-U	2545	Norwegian	VED	13154				
at-U	2545	Old_Norse	við	21565				
at-U	2545	Swedish	viːd	16113				
at-V	2546	Afrikaans	TE	205				
at-V	2546	Dutch_List	tə	4918				
at-V	2546	Flemish	TE	5514				
at-W	2547	Cornish	ort	19586				
at-W	2547	Welsh_N	WRTH	25197				
back-B	180	Danish	b̥ɛj	4719				
back-B	180	English	bæk	5118				
back-B	180	Faroese	BAK	5318				
back-B	180	Icelandic_ST	paːk	8262				
back-B	180	Old_English	bæc	21325				
back-B	180	Old_Norse	bak	21568				
back-C	2186	Catalan	əs'paʎʎə	3934				
back-C	2186	Rumanian_List	spate	23490				
back-C	2186	Spanish	es'palda	15914				
back-E	2550	Gothic	nōt-a*	19919				
back-F	2551	Catalan	əs'kɛnə	23497	LOAN	?		
back-F	2551	Friulian	schene	26168	LOAN	?		
back-F	2551	Provencal	ESQUINO	23498	LOAN	?		
back-H	851	French	do	5712				
back-H	851	Italian	'dɔsso	8850			SS	auch: dorso
back-H	851	Ladin	DOSS	23489				
back-H	851	Latin	dorsum	20341	EXCLUDE			
back-H	851	Portuguese_ST	dorso	12755				
back-H	851	Provencal	DOS	12955				
back-H	851	Romansh	dies	26375				
back-H	851	Rumanian_List	DOS	13353				
back-H	851	Spanish	DORSO	23496				
back-I	969	Breton_ST	kɛjn	2954				
back-I	969	Cornish	cein	19587				
back-I	969	Welsh_N	CEFN	23488				
back-N	1683	Irish_B	d̪ˠɾˠɪmʲ	8656				
back-N	1683	Old_Irish	druimm	28137				
back-N	1683	Scots_Gaelic	druim	23942				
back-R	2183	Afrikaans	RUG	206				
back-R	2183	Dutch_List	rʏχ	4919				
back-R	2183	Faroese	RYGGUR	23492				
back-R	2183	Flemish	RUG	5515				
back-R	2183	Frisian	rɛːx	6307				
back-R	2183	German	'rijkn̩	6498				
back-R	2183	Luxembourgish	Réck	24166				
back-R	2183	Norwegian	RYGG	13155				
back-R	2183	Old_English	hrycg	21324				
back-R	2183	Old_High_German	rucki	27882				
back-R	2183	Old_Norse	hryggr	21567				
back-R	2183	Schwyzerdutsch	rügge	29010				
back-R	2183	Swedish	rʏg	16114				
back-S	2552	Ladin	RAIN	9431	LOAN	?		
back-S	2552	Walloon	RIN	17851	LOAN	?	SS	woher? P.m.: ital. reni (sizilanisch rini) = Flanken, Rücken < <  ren pl. Nieren
bad-Aa	3192	Irish_B	d̪ˠoːn̪ˠə	26936				
bad-Aa	3192	Scots_Gaelic	d̪̊ɔnə	24051				
bad-B	181	Afrikaans	SLEG	207				
bad-B	181	Dutch_List	slɛχt	4920				
bad-B	181	Flemish	SLECHT	5516				
bad-B	181	German	ʃlɛçt	6499				
bad-B	181	Luxembourgish	schlecht	24267				
bad-B	181	Schwyzerdutsch	schlächt	29011				
bad-D	852	Catalan	mal	3935				
bad-D	852	French	mɔvɛ	5713				
bad-D	852	Ladin	MEL	9432				
bad-D	852	Latin	ˈmalus	20342				
bad-D	852	Portuguese_ST	maw	12756				
bad-D	852	Romansh	mal	26376				
bad-D	852	Sardinian_C	MALU	13944				
bad-D	852	Sardinian_N	MALU	14343				
bad-D	852	Spanish	'malo	15915				
bad-D	852	Walloon	MAL	17852				
bad-E	970	Breton_ST	fal	2955				
bad-H	1304	Frisian	bar	6308				
bad-J	1684	Irish_B	OLC	8657				
bad-J	1684	Old_Irish	olc	28138				
bad-J	1684	Scots_Gaelic	olc	24052				
bad-M	2038	Norwegian	DARLIG	13156				
bad-M	2038	Swedish	ˈdoː.lɪ(ɡ)	16115				
bad-O	2137	Cornish	dro:g	19588				
bad-O	2137	Welsh_N	DRWG	18444				
bad-Q	2191	Danish	ɔn	4720				
bad-Q	2191	Icelandic_ST	VONDUR	25203				
bad-Q	2191	Old_Norse	vándr	21570				
bad-Q	2191	Swedish	und	23515				
bad-R	2192	Faroese	ILLUR	5319				
