,Afrikaans,Breton_ST,Catalan,Cornish,Danish,Dutch_List,English,Faroese,Flemish,French,Frisian,Friulian,German,Gothic,Icelandic_ST,Irish_B,Italian,Ladin,Latin,Latin_M,Latin_preserved,Luxembourgish,Norwegian,Old_English,Old_High_German,Old_Irish,Old_Norse,Portuguese_ST,Provencal,Romansh,Rumanian_List,Sardinian_C,Sardinian_N,Schwyzerdutsch,Scots_Gaelic,Spanish,Swedish,Walloon,Welsh_N
all,0.16679622431982233,0.008995002776235425,0.12937257079400333,0.009106052193225985,0.3781232648528595,0.12881732370905052,0.23053858967240423,0.11482509716823987,0.16790671848972794,0.07395891171571349,0.2082176568573015,0.1203775680177679,0.267518045530261,0.001665741254858412,0.01943364797334814,0.012881732370905053,0.13092726263187118,0.09050527484730705,0.0035535813436979456,0.20177679067184898,0.20177679067184898,0.2690727373681288,0.25308162132148804,0.09872293170460855,0.00277623542476402,0.012992781787895613,0.007773459189339256,0.1305941143808995,0.051193781232648526,0.11438089950027762,0.004775124930594114,0.2308717379233759,0.29339255968906164,0.25852304275402554,0.012992781787895613,0.1801221543586896,0.22598556357579122,0.14125485841199334,0.017101610216546364
and,0.17501388117712383,0.0064408661854525266,0.3446973903387007,0.006218767351471405,0.12315380344253192,0.13947806774014437,0.012881732370905053,0.10605219322598557,0.17146029983342587,0.2707384786229872,0.1799000555247085,0.337034980566352,0.2848417545807885,0.008995002776235425,0.007995558023320377,0.012992781787895613,0.3161576901721266,0.2696279844530816,0.00277623542476402,0.20521932259855635,0.20521932259855635,0.29183786785119376,0.17468073292615213,0.004775124930594114,0.0025541365907828985,0.012992781787895613,0.0026651860077734593,0.3617990005552471,0.2507495835646863,0.32781787895613546,0.00555247084952804,0.19589117157134925,0.2665186007773459,0.2888395335924486,0.012992781787895613,0.39955580233203775,0.010882842865074958,0.3252637423653526,0.13026096612992782
animal,0.07873403664630761,0.23564686285397002,0.1616879511382565,0.2354247640199889,0.3554691837867851,0.07873403664630761,0.9966685174902832,0.10494169905607996,0.47573570238756246,0.1331482509716824,0.29239311493614656,0.13048306496390893,0.22931704608550804,0.0013325930038867297,0.013659078289838979,0.008772903942254303,0.16635202665186008,0.11149361465852305,0.013214880621876736,0.479400333148251,0.479400333148251,0.22565241532481956,0.20244308717379234,0.09239311493614659,0.0025541365907828985,0.008772903942254303,0.005774569683509162,0.134258745141588,0.11271515824541921,0.15424764019988896,0.009883398112159911,0.6656302054414215,0.6928373126041089,0.20910605219322598,0.008661854525263742,0.18323153803442532,0.19822320932815102,0.6722931704608551,0.38811771238201
ashes,0.15491393670183232,0.004775124930594114,0.2549694614103276,0.004775124930594114,0.4823986674069961,0.11771238200999445,0.2062187673514714,0.08595224875069406,0.15635757912270962,0.16724042198778458,0.19100499722376457,0.25941143808995004,0.2670738478622987,0.0013325930038867297,0.017434758467518047,0.010660744031093837,0.2220988339811216,0.18123264852859522,9.99444752915047E-4,0.22687395891171572,0.22687395891171572,0.2670738478622987,0.1968906163242643,0.09627984453081621,0.003331482509716824,0.010549694614103275,0.007551360355358134,0.27851193781232647,0.15335924486396446,0.2508606329816768,0.005330372015546919,0.14292059966685175,0.20799555802332037,0.2622987229317046,0.010660744031093837,0.3258189894503054,0.17579122709605774,0.23475846751804552,0.11649083842309828
at,0.08173237090505275,0.015991116046640753,0.3214880621876735,0.015991116046640753,0.23242642976124375,0.07695724597445863,0.20810660744031093,0.16690727373681288,0.07751249305941144,0.17612437534702943,0.08672959466962799,0.24975013881177124,0.43631315935591336,0.051971127151582454,0.07595780122154358,0.08883953359244864,0.2421987784564131,0.18911715713492505,0.11604664075513603,0.2671848972792893,0.2671848972792893,0.4427540255413659,0.5258189894503054,0.07018323153803442,0.04975013881177124,0.08861743475846752,0.05052748473070516,0.3057190449750139,0.15191560244308716,0.24175458078845086,0.036646307606885066,0.27518045530260965,0.3351471404775125,0.43664630760688505,0.08883953359244864,0.5512493059411439,0.0674069961132704,0.2323153803442532,0.017212659633536923
back,0.08739589117157134,0.011771238200999444,0.16157690172126596,0.011771238200999444,0.09117157134925041,0.04353137146029983,0.8038867295946697,0.27373681288173235,0.08139922265408106,0.3594669627984453,0.07951138256524153,0.404553026096613,0.3305941143808995,0.023986674069961134,0.05341476957245975,0.010438645197112715,0.24397556912826207,0.3176013325930039,0.046529705719044974,0.24441976679622432,0.24441976679622432,0.33525818989450307,0.8035535813436979,0.6589672404219877,0.006329816768461965,0.010438645197112715,0.04186563020544142,0.2689616879511383,0.12626318711826762,0.2725152692948362,0.008550805108273182,0.1455857856746252,0.21343697945585785,0.3285952248750694,0.010438645197112715,0.179011660188784,0.10749583564686285,0.7265963353692393,0.012881732370905053
bad,0.13037201554691838,0.01665741254858412,0.3934480843975569,0.01665741254858412,0.012770682953914493,0.12937257079400333,0.07273736812881733,0.008439755691282622,0.12448639644641865,0.46729594669627983,0.12282065519156024,0.37157134925041646,0.9186007773459189,0.006107717934480844,0.0064408661854525266,0.008995002776235425,0.21621321488062187,0.32815102720710715,0.0032204330927262633,0.23442531926707386,0.23442531926707386,0.9157134925041643,0.9159355913381455,0.009883398112159911,0.006218767351471405,0.008883953359244865,0.006329816768461965,0.42220988339811216,0.1937812326485286,0.45419211549139366,0.007551360355358134,0.2508606329816768,0.31571349250416436,0.9156024430871738,0.008995002776235425,0.4659633536923931,0.014658523042754026,0.5151582454192115,0.017212659633536923
bark,0.29539144919489174,0.00688506385341477,0.14436424208772905,0.00699611327040533,0.11204886174347585,0.2855080510827318,0.9674625208217656,0.10916157690172126,0.5102720710716269,0.3242642976124375,0.37945585785674624,0.7892282065519156,0.005441421432537479,0.009439200444197668,0.010105496946141032,0.017323709050527485,0.1897834536368684,0.17012770682953915,0.0029983342587451417,0.11515824541921155,0.11515824541921155,0.1161576901721266,0.18001110494169906,0.00555247084952804,0.004664075513603554,0.017434758467518047,0.004664075513603554,0.18001110494169906,0.08606329816768463,0.7885619100499722,0.007773459189339256,0.3583564686285397,0.41543586896168794,0.005330372015546919,0.017878956135480288,0.21921154913936702,0.014214325374791783,0.4632981676846197,0.11971127151582454
because,0.07129372570794003,0.01676846196557468,0.2478622987229317,0.01676846196557468,0.1799000555247085,0.01532481954469739,0.3380344253192671,0.023098278734036647,0.018878400888395337,0.19111604664075513,0.019322598556357578,0.23931149361465853,0.010882842865074958,0.01377012770682954,0.023098278734036647,0.018656302054414216,0.20099944475291504,0.14769572459744587,0.007329261521377013,0.21776790671848972,0.21776790671848972,0.010882842865074958,0.9957801221543587,0.32792892837312604,0.009994447529150472,0.018656302054414216,0.0220988339811216,0.17656857301499168,0.1773459189339256,0.1946696279844531,0.010882842865074958,0.020099944475291506,0.9815657967795669,0.010882842865074958,0.018656302054414216,0.24342032204330927,0.04342032204330927,0.19078289838978346,0.11482509716823987
belly,0.08506385341476957,0.007440310938367573,0.14891726818434203,0.0082176568573015,0.9905607995558023,0.04008883953359245,0.9523598001110494,0.9870072182121044,0.07973348139922265,0.2863964464186563,0.07118267629094947,0.11904497501388117,0.634647418101055,0.017323709050527485,0.024430871737923375,0.017101610216546364,0.5222654081066075,0.2637423653525819,0.041088284286507494,0.25818989450305385,0.25818989450305385,0.6333148250971682,0.927928928373126,0.029650194336479734,0.017323709050527485,0.01776790671848973,0.01776790671848973,0.489505830094392,0.16923931149361465,0.10372015546918378,0.017323709050527485,0.19355913381454748,0.25619100499722375,0.6267629094947251,0.017545807884508605,0.49272626318711826,0.9757912270960577,0.35369239311493617,0.10416435313714603
big,0.09050527484730705,0.0064408661854525266,0.3549139367018323,0.006551915602443087,0.9878956135480289,0.05186007773459189,0.1428095502498612,0.1322598556357579,0.09494725152692948,0.3247084952803998,0.07540255413659078,0.36191004997223764,0.6039977790116602,0.03486951693503609,0.05941143808995003,0.015769017212659633,0.3040533037201555,0.29250416435313714,0.29394780677401444,0.42398667406996116,0.42398667406996116,0.6058856191004998,0.06718489727928928,0.09039422543031649,0.03520266518600777,0.015991116046640753,0.03642420877290394,0.31138256524153246,0.315047196002221,0.3572459744586341,0.028761799000555248,0.03387007218212104,0.03387007218212104,0.5998889505830094,0.015880066629650195,0.3566907273736813,0.989894503053859,0.32393114936146583,0.14658523042754026
bird,0.14602998334258746,0.021987784564131037,0.5756801776790672,0.0220988339811216,0.3782343142698501,0.10927262631871183,0.2694058856191005,0.11460299833425874,0.14525263742365352,0.5340366463076068,0.1870072182121044,0.5802332037756802,0.2719600222098834,0.001998889505830094,0.01965574680732926,0.01377012770682954,0.5238200999444753,0.5001665741254858,0.00277623542476402,0.15902276513048305,0.15902276513048305,0.27695724597445864,0.25652415324819544,0.1017212659633537,0.0035535813436979456,0.01377012770682954,0.00832870627429206,0.5640199888950583,0.5207107162687395,0.572459744586341,0.00699611327040533,0.005885619100499722,0.005885619100499722,0.2695169350360911,0.01399222654081066,0.5519156024430871,0.23076068850638534,0.5338145474736258,0.150694058856191
bite,0.16735147140477513,0.0035535813436979456,0.7702387562465297,0.0036646307606885064,0.3910049972237646,0.12870627429205997,0.23886729594669628,0.12215435868961688,0.16335369239311492,0.7096057745696835,0.204553026096613,0.7372570794003331,0.2796224319822321,0.002332037756801777,0.01965574680732926,0.003997779011660188,0.7096057745696835,0.6846196557468073,0.0035535813436979456,0.12015546918378678,0.12015546918378678,0.27973348139922266,0.2560799555802332,0.1033870072182121,0.003775680177679067,0.003997779011660188,0.008439755691282622,0.7392559689061633,0.6905052748473071,0.7390338700721821,0.011993337034980567,0.020099944475291506,0.022876179900055523,0.2845086063298168,0.004441976679622432,0.7494725152692948,0.23564686285397002,0.7593559133814547,0.1084952803997779
black,0.0719600222098834,0.00555247084952804,0.27828983897834536,0.005774569683509162,0.37978900610771793,0.028428650749583565,0.03220433092726263,0.11238200999444753,0.06973903387007219,0.14936146585230428,0.08684064408661854,0.2827318156579678,0.28939478067740143,0.0014436424208772905,0.013548028872848417,0.014769572459744586,0.23675735702387563,0.16846196557468074,0.0012215435868961689,0.24408661854525263,0.24408661854525263,0.2848417545807885,0.24997223764575235,0.031204886174347586,0.00410882842865075,0.014658523042754026,0.0025541365907828985,0.2719600222098834,0.15646862853970017,0.21254858411993338,0.006551915602443087,0.16524153248195447,0.17556912826207663,0.2801776790671849,0.014769572459744586,0.38278734036646306,0.22609661299278178,0.21043864519711272,0.13492504164353136
blood,0.1616879511382565,0.005663520266518601,0.16468628539700167,0.005774569683509162,0.3741254858411993,0.12359800111049417,0.22731815657967797,0.11282620766240978,0.1594669627984453,0.10982787340366464,0.20388672959466964,0.15569128262076623,0.2674069961132704,0.001665741254858412,0.017434758467518047,0.0031093836757357025,0.15846751804553025,0.12903942254303166,6.662965019433648E-4,0.10449750138811771,0.10449750138811771,0.27329261521377013,0.25896724042198777,0.09783453636868407,0.0036646307606885064,0.0031093836757357025,0.007440310938367573,0.1694614103275958,0.09050527484730705,0.15491393670183232,0.006551915602443087,0.16102165463631316,0.22798445308162132,0.2686285397001666,0.0032204330927262633,0.21799000555247086,0.22765130483064963,0.17856746252082176,0.006329816768461965
blow,0.20699611327040532,0.0032204330927262633,0.25485841199333703,0.0035535813436979456,0.2658523042754026,0.1694614103275958,0.9838978345363687,0.10816213214880623,0.21621321488062187,0.16735147140477513,0.3985563575791227,0.265741254858412,0.9840088839533593,0.004775124930594114,0.01676846196557468,0.01121599111604664,0.21854525263742366,0.17856746252082176,0.007107162687395891,0.23053858967240423,0.23053858967240423,0.04630760688506386,0.183564686285397,0.007329261521377013,0.0064408661854525266,0.01121599111604664,0.010549694614103275,0.2739589117157135,0.15258189894503055,0.25485841199333703,0.010660744031093837,0.1546918378678512,0.22254303164908384,0.03964464186563021,0.011438089950027762,0.3218212104386452,0.11571349250416435,0.2319822320932815,0.11460299833425874
bone,0.14602998334258746,0.8122154358689617,0.26196557468073295,0.8122154358689617,0.22754025541365908,0.10749583564686285,0.2215435868961688,0.1161576901721266,0.14836202109938923,0.16624097723486952,0.1875624652970572,0.26052193225985565,0.03764575235980011,0.008106607440310939,0.016435313714603,0.008883953359244865,0.23076068850638534,0.1870072182121044,0.001665741254858412,0.23020544142143254,0.23020544142143254,0.14825097168239867,0.25197112715158243,0.10316490838423098,0.0031093836757357025,0.008661854525263742,0.007218212104386452,0.2825097168239867,0.1495835646862854,0.2523042754025541,0.006329816768461965,0.14425319267073847,0.21043864519711272,0.03731260410882843,0.008550805108273182,0.3265963353692393,0.13781232648528596,0.23187118267629095,0.8122154358689617
breast,0.19211549139367018,0.014658523042754026,0.1368128817323709,0.014547473625763465,0.3866740699611327,0.1601332593003887,0.2385341476957246,0.12359800111049417,0.19333703498056634,0.07840088839533592,0.22765130483064963,0.9458078845086063,0.28206551915602446,0.02920599666851749,0.0416435313714603,0.023098278734036647,0.1285952248750694,0.2687395891171571,0.002220988339811216,0.2396446418656302,0.2396446418656302,0.29128262076624095,0.25974458634092173,0.11682398667406996,0.02787340366463076,0.023098278734036647,0.032759578012215435,0.14847307051637978,0.07395891171571349,0.9485841199333703,0.004664075513603554,0.1258189894503054,0.19811215991116046,0.2819544697390339,0.023209328151027206,0.1680177679067185,0.23242642976124375,0.1541365907828984,0.01810105496946141
breathe,0.08761799000555247,0.016213214880621878,0.4104386451971127,0.016213214880621878,0.13825652415324818,0.043975569128262074,0.3011660188784009,0.13492504164353136,0.08406440866185452,0.3754580788450861,0.06596335369239312,0.2926152137701277,0.3179344808439756,0.03609106052193226,0.03686840644086618,0.03720155469183787,0.2700721821210439,0.21021654636313158,0.001110494169905608,0.2058856191004997,0.2058856191004997,0.32759578012215435,0.26052193225985565,0.27584675180455304,0.02631871182676291,0.03764575235980011,0.03220433092726263,0.47973348139922267,0.36779566907273736,0.29594669627984455,0.004553026096612993,0.16246529705719046,0.22965019433647973,0.31249305941143807,0.03742365352581899,0.4813992226540811,0.038200999444752914,0.4266518600777346,0.1339255968906163
burn,0.244752915047196,0.006551915602443087,0.6488617434758468,0.006551915602443087,0.4112159911160466,0.2153248195446974,0.31071626873958913,0.11871182676290949,0.24741810105496947,0.06640755136035535,0.29361465852304275,0.08095502498611883,0.4526374236535258,0.003886729594669628,0.024541921154913937,0.012770682953914493,0.04064408661854525,0.049083842309827874,0.0013325930038867297,0.3090505274847307,0.3090505274847307,0.45341476957245974,0.27673514714047753,0.1501388117712382,0.004553026096612993,0.01265963353692393,0.013325930038867296,0.7212659633536924,0.059522487506940586,0.07840088839533592,0.0035535813436979456,0.7490283176013326,0.7494725152692948,0.449305941143809,0.013214880621876736,0.7566907273736813,0.26218767351471406,0.08217656857301499,0.29516935036091063
child,0.05341476957245975,0.0714047751249306,0.21488062187673515,0.07151582454192115,0.14580788450860632,0.04863964464186563,0.11327040533037201,0.11027207107162687,0.04886174347584675,0.24286507495835646,0.02487506940588562,0.28006662965019435,0.3402554136590783,0.005330372015546919,0.012104386451971127,0.009106052193225985,0.20244308717379234,0.19900055524708496,0.005774569683509162,0.15402554136590782,0.15402554136590782,0.3404775124930594,0.1965574680732926,0.10982787340366464,0.006329816768461965,0.009106052193225985,0.007662409772348695,0.21310383120488618,0.19255968906163243,0.3048306496390894,0.009883398112159911,0.004664075513603554,0.004664075513603554,0.3399222654081066,0.009439200444197668,0.22698500832870627,0.014880621876735146,0.2421987784564131,0.07473625763464742
cloud,0.15313714602998335,0.007107162687395891,0.25730149916712935,0.007218212104386452,0.23953359244863964,0.11549139367018323,0.19311493614658523,0.07784564131038312,0.15280399777901166,0.16490838423098278,0.15113825652415325,0.25885619100499724,0.3022765130483065,0.009661299278178789,0.010216546363131594,0.012881732370905053,0.23553581343697946,0.18334258745141588,0.004219877845641311,0.24342032204330927,0.24342032204330927,0.3026096612992782,0.1064963908939478,0.006551915602443087,0.004219877845641311,0.012881732370905053,0.004553026096612993,0.27884508606329816,0.15280399777901166,0.2500832870627429,0.007329261521377013,0.1634647418101055,0.23464741810105497,0.2997223764575236,0.012770682953914493,0.3220433092726263,0.01121599111604664,0.23042754025541365,0.007662409772348695
cold,0.16413103831204887,0.009661299278178789,0.18689616879511384,0.009772348695169351,0.3779011660188784,0.1243753470294281,0.23164908384230984,0.10893947806774014,0.1614658523042754,0.1305941143808995,0.2054414214325375,0.787340366463076,0.28151027207107165,0.0026651860077734593,0.01965574680732926,0.004441976679622432,0.19755691282620766,0.18112159911160466,0.0013325930038867297,0.13581343697945586,0.13581343697945586,0.2816213214880622,0.25774569683509163,0.10116601887840089,0.0048861743475846755,0.004441976679622432,0.008550805108273182,0.18900610771793447,0.11826762909494726,0.7864519711271516,0.005108273181565797,0.16835091615769018,0.2441976679622432,0.28084397556912827,0.004330927262631871,0.2410882842865075,0.22820655191560243,0.19955580233203776,0.8559689061632426
come,0.16724042198778458,0.002220988339811216,0.2714047751249306,0.002332037756801777,0.37034980566352027,0.1333703498056635,0.29383675735702386,0.1348139922265408,0.167129372570794,0.17867851193781234,0.2133259300388673,0.2668517490283176,0.27262631871182674,0.020544142143253747,0.0359800111049417,0.0032204330927262633,0.23375902276513047,0.1917823431426985,0.08406440866185452,0.25363686840644084,0.25363686840644084,0.2830649639089395,0.25674625208217655,0.11471404775124931,0.021543586896168795,0.0031093836757357025,0.025652415324819544,0.29305941143808995,0.16279844530816212,0.26418656302054416,0.021432537479178233,0.14991671293725709,0.22043309272626319,0.27462520821765685,0.0029983342587451417,0.3392559689061632,0.22565241532481956,0.24353137146029982,0.0032204330927262633
